SurfaceDateTime(local),Spot,Underlying,IsFx,Default Fit,Object for Under,Model,Start Date,End Date,Var from Surface (0 Basis),Var from surface + (T-1) Basis,,Var from Surface (0 Basis),Marked Var,Marked Var,Marked Basis,,,Leader/Follower,,Old Marked Var Fn,New Market Var Fn,
 4/1/2016 4:00:00 PM   _3276,4999.385,AS51,Eq,SVI, AS51   _2998,SVI,,6/17/2016,19.9%,#VALUE!,,18.7%,,19.52%,0.8%,,AS51,Leader,,,19.52%,0.00%
 4/1/2016 4:00:00 PM   _3277,4999.385,AS51,Eq,SVI, AS51   _2999,SVI,,9/16/2016,20.8%,#VALUE!,,19.9%,,20.54%,0.6%,,,Leader,,,20.54%,0.00%
 4/1/2016 4:00:00 PM   _3278,4999.385,AS51,Eq,SVI, AS51   _3000,SVI,,12/16/2016,21.2%,#VALUE!,,20.5%,,21.15%,0.7%,,,Leader,,,21.15%,0.00%
 4/1/2016 4:00:00 PM   _3279,4999.385,AS51,Eq,SVI, AS51   _3001,SVI,,3/17/2017,21.5%,#VALUE!,,20.8%,,21.63%,0.8%,,,Leader,,,21.63%,#VALUE!
 4/1/2016 4:00:00 PM   _3280,4999.385,AS51,Eq,SVI, AS51   _3002,SVI,,6/16/2017,21.9%,#VALUE!,,21.3%,,22.07%,0.8%,,,Leader,,,22.07%,0.00%
 4/1/2016 4:00:00 PM   _3281,4999.385,AS51,Eq,SVI, AS51   _3003,SVI,,12/15/2017,22.4%,#VALUE!,,21.9%,,22.44%,0.6%,,,Leader,,,22.44%,0.00%
 4/1/2016 4:00:00 PM   _3282,20498.92,HSI,Eq,SVI, HSI   _3004,SVI,,6/29/2016,23.4%,#VALUE!,,22.3%,,22.97%,0.6%,,HSI,Leader,,,22.97%,0.00%
 4/1/2016 4:00:00 PM   _3283,20498.92,HSI,Eq,SVI, HSI   _3005,SVI,,9/29/2016,24.6%,#VALUE!,,23.8%,,24.53%,0.7%,,,Leader,,,24.53%,0.00%
 4/1/2016 4:00:00 PM   _3284,20498.92,HSI,Eq,SVI, HSI   _3006,SVI,,12/29/2016,25.6%,#VALUE!,,24.9%,,25.58%,0.7%,,,Leader,,,25.58%,0.00%
 4/1/2016 4:00:00 PM   _3285,20498.92,HSI,Eq,SVI, HSI   _3007,SVI,,3/30/2017,26.2%,#VALUE!,,25.6%,,26.23%,0.6%,,,Leader,,,26.23%,0.00%
 4/1/2016 4:00:00 PM   _3286,20498.92,HSI,Eq,SVI, HSI   _3008,SVI,,6/29/2017,27.1%,#VALUE!,,26.6%,,26.81%,0.2%,,,Leader,,,26.81%,0.00%
 4/1/2016 4:00:00 PM   _3287,20498.92,HSI,Eq,SVI, HSI   _3009,SVI,,12/28/2017,28.2%,#VALUE!,,27.7%,,27.74%,0.0%,,,Leader,,,27.74%,0.00%
 4/1/2016 3:15:00 PM   _3288,242.36,KOSPI2,Eq,SVI, KOSPI2   _3010,SVI,,6/9/2016,15.1%,#VALUE!,,14.0%,,14.61%,0.6%,,KOSPI2,Leader,,,14.61%,0.00%
 4/1/2016 3:15:00 PM   _3289,242.36,KOSPI2,Eq,SVI, KOSPI2   _3012,SVI,,9/8/2016,17.7%,#VALUE!,,17.0%,,17.16%,0.2%,,,Leader,,,17.16%,0.00%
 4/1/2016 3:15:00 PM   _3290,242.36,KOSPI2,Eq,SVI, KOSPI2   _3011,SVI,,12/8/2016,18.7%,#VALUE!,,18.2%,,18.72%,0.6%,,,Leader,,,18.72%,0.00%
 4/1/2016 3:15:00 PM   _3291,242.36,KOSPI2,Eq,SVI, KOSPI2   _3013,SVI,,3/9/2017,19.3%,#VALUE!,,18.8%,,19.70%,0.9%,,,Leader,,,19.70%,0.00%
